java_file,nobl
/redis/util/src/main/java/example/springdata/redis/test/condition/LettuceTestClientResources_LettuceTestClientResources_0.java,0
/redis/util/src/main/java/example/springdata/redis/test/condition/EnabledOnRedisAvailableCondition_evaluateExecutionCondition_0.java,5
/redis/util/src/main/java/example/springdata/redis/test/condition/EnabledOnRedisClusterCondition_evaluateExecutionCondition_0.java,6
/redis/util/src/main/java/example/springdata/redis/test/condition/RedisConditions_hasVersionGreaterOrEqualsTo_7.java,0
/redis/util/src/main/java/example/springdata/redis/test/condition/RedisConditions_of_3.java,0
/redis/util/src/main/java/example/springdata/redis/test/condition/EnabledOnRedisSentinelCondition_evaluateExecutionCondition_0.java,7
/redis/util/src/main/java/example/springdata/redis/test/condition/RedisConditions_RedisConditions_0.java,6
/redis/util/src/main/java/example/springdata/redis/test/condition/RedisDetector_canConnectToPort_0.java,2
/redis/util/src/main/java/example/springdata/redis/test/condition/RedisConditions_hasCommandArity_6.java,2
/redis/util/src/main/java/example/springdata/redis/test/condition/RedisConditions_of_2.java,0
/redis/util/src/main/java/example/springdata/redis/test/condition/RedisConditions_hasCommand_5.java,0
/redis/util/src/main/java/example/springdata/redis/test/condition/LettuceTestClientResources_getSharedClientResources_1.java,0
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveManagedTransitionService_finish_2.java,1
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveTransitionService_verify_5.java,1
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveManagedTransitionService_verify_5.java,1
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveManagedTransitionService_run_1.java,1
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveManagedTransitionService_start_3.java,1
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveTransitionService_lookup_4.java,0
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveTransitionService_run_1.java,1
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveManagedTransitionService_newProcess_0.java,0
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveManagedTransitionService_lookup_4.java,0
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveTransitionService_finish_2.java,1
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveTransitionService_start_3.java,1
/mongodb/transactions/src/main/java/example/springdata/mongodb/reactive/ReactiveTransitionService_newProcess_0.java,0
/mongodb/transactions/src/main/java/example/springdata/mongodb/imperative/TransitionService_newProcess_0.java,0
/mongodb/transactions/src/main/java/example/springdata/mongodb/imperative/TransitionService_verify_5.java,0
/mongodb/transactions/src/main/java/example/springdata/mongodb/imperative/TransitionService_run_1.java,3
/mongodb/transactions/src/main/java/example/springdata/mongodb/imperative/TransitionService_lookup_4.java,0
/mongodb/transactions/src/main/java/example/springdata/mongodb/imperative/TransitionService_finish_2.java,1
/mongodb/transactions/src/main/java/example/springdata/mongodb/imperative/TransitionService_start_3.java,1
/mongodb/jmolecules/src/main/java/example/springdata/mongodb/Application_main_0.java,0
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_getId_1.java,0
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_getLastname_5.java,0
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_getFirstname_3.java,0
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_setLastname_6.java,0
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_equals_8.java,2
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_Customer_0.java,2
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_setFirstname_4.java,0
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_setId_2.java,0
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_toString_7.java,0
/mongodb/querydsl/src/main/java/example/springdata/mongodb/Customer_hashCode_9.java,0
/mongodb/text-search/src/main/java/example/springdata/mongodb/textsearch/MongoTestConfiguration_postConstruct_1.java,2
/mongodb/text-search/src/main/java/example/springdata/mongodb/textsearch/MongoTestConfiguration_repositoryPopulator_0.java,1
/mongodb/text-search/src/main/java/example/springdata/mongodb/textsearch/MongoTestConfiguration_dropTestDB_2.java,0
/mongodb/aggregation/src/main/java/example/springdata/mongodb/aggregation/Order_addItem_1.java,1
/mongodb/aggregation/src/main/java/example/springdata/mongodb/aggregation/Order_Order_0.java,0
/mongodb/change-streams/src/main/java/example/springdata/mongodb/CollectingMessageListener_messageCount_1.java,0
/mongodb/change-streams/src/main/java/example/springdata/mongodb/CollectingMessageListener_onMessage_0.java,3
/mongodb/change-streams/src/main/java/example/springdata/mongodb/CollectingMessageListener_awaitNextMessages_2.java,1
/mongodb/geo-json/src/main/java/example/springdata/mongodb/geojson/ApplicationConfiguration_repositoryPopulator_0.java,3
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Manager_Manager_0.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Manager_Manager_1.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Manager_setEmployees_7.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Manager_setId_3.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Employee_Employee_1.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Manager_getName_4.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Employee_setId_3.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Employee_getId_2.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Manager_getId_2.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Employee_setName_5.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Manager_getEmployees_6.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Employee_setManager_7.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Employee_Employee_0.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Employee_getName_4.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Manager_setName_5.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/dbref/Employee_getManager_6.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Manager_Manager_0.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Employee_setManagerId_7.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Manager_Manager_1.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Manager_setEmployees_7.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Manager_setId_3.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Employee_Employee_1.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Manager_getName_4.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Employee_setId_3.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Employee_getManagerId_6.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Employee_getId_2.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Manager_getId_2.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Employee_setName_5.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Manager_getEmployees_6.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Employee_Employee_0.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Employee_getName_4.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/jpastyle/Manager_setName_5.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/simple/Manager_Manager_0.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/simple/Manager_Manager_1.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/simple/Manager_setEmployees_7.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/simple/Manager_setId_3.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/simple/Manager_getName_4.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/simple/Manager_getId_2.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/simple/Manager_getEmployees_6.java,0
/mongodb/linking/src/main/java/example/springdata/mongodb/linking/docref/simple/Manager_setName_5.java,0
