java_file,mncoco
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/FairBlockingQueue_pollAsync_4.java,2
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getValidationQueryTimeout_101.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setDefaultCatalog_46.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_silentlyCommitTransactionIfNeeded_15.java,2
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getDefaultCatalog_8.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setLogAbandoned_51.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/FairBlockingQueue_peek_25.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getUseLock_87.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getConnection_4.java,4
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_isJmxEnabled_76.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_getConnectionAsync_1.java,7
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setCommitOnReturn_135.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_unlock_32.java,2
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setValidationInterval_41.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setJdbcInterceptors_45.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setFairQueue_47.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_toString_18.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_getStackTrace_37.java,5
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_isTestOnReturn_26.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ProxyConnection_getConnection_0.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setNumTestsPerEvictionRun_30.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setInitialSize_50.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getBorrowedCount_70.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_isMaxAgeExpired_8.java,2
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setUseLock_88.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_getThreadDump_36.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_init_14.java,24
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setMaxWait_27.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setValidationQueryTimeout_33.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_isIgnoreExceptionOnPreLoad_145.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getPropagateInterruptState_104.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setValidationInterval_68.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setAlternateUsernameAllowed_95.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setValidatorClassName_70.java,5
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/JdbcInterceptor_invoke_1.java,2
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setTestOnReturn_36.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_toString_38.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getMaxActive_86.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_setMinIdle_29.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getNumActive_66.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_testAllIdle_35.java,12
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_borrowConnection_21.java,39
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ProxyConnection_getDelegateConnection_10.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/FairBlockingQueue_offer_2.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_setupConnection_11.java,15
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getPoolName_22.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_shouldClose_26.java,5
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/JdbcInterceptor_isUseEquals_10.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/StatementFacade_closeInvoked_1.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getNumIdle_62.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_disconnectEvent_42.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_setPoolProperties_26.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DisposableConnectionFacade_equals_3.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_isAlternateUsernameAllowed_133.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_initializePoolCleaner_16.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setDefaultAutoCommit_45.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setUrl_66.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getLoginTimeout_57.java,2
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/FairBlockingQueue_addAll_16.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getConnectionAsync_9.java,1
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_getValidationInterval_37.java,0
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getMaxWait_88.java,0
